"rep","grid_id","grid_label","rho_step","theta_step","pred_rho","pred_theta","dr","dtheta"
56,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
57,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
57,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
57,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
57,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
58,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
58,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
58,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
58,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
59,"coarse","Крупный шаг",5,1,-12,3,133.466873708001,0.10371939430479
59,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
59,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
59,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
60,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
60,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
60,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
60,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
61,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
61,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
61,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
61,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
62,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
62,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
62,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
62,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
63,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
63,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
63,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
63,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
64,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
64,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
64,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
64,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
65,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
65,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
65,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
65,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
66,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
66,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
66,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
66,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
67,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
67,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
67,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
67,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
68,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
68,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
68,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
68,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
69,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
69,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
69,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
69,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
70,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
70,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
70,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
70,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
71,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
71,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
71,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
71,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
72,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
72,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
72,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
72,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
73,"coarse","Крупный шаг",5,1,-27,3,705.050465843002,0.10371939430479
73,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
73,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
73,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
74,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
74,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
74,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
74,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
75,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
75,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
75,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
75,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
76,"coarse","Крупный шаг",5,1,-22,3,464.522601798002,0.10371939430479
76,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
76,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
76,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
