"config_id","config_label","sigma","rep","method","method_label","grid_label","rho_step","theta_step","pred_rho","pred_theta","rho_mse","theta_mse","reconstructed_mean_distance","processed_active_pixels"
"diag_neg_full","Отрицательная диагональ",0.05,1,"wiener","Wiener","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,4725
"diag_neg_full","Отрицательная диагональ",0.05,1,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,4725
"diag_neg_full","Отрицательная диагональ",0.05,1,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1000
"diag_neg_full","Отрицательная диагональ",0.05,1,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.05,1,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1000
"diag_neg_full","Отрицательная диагональ",0.05,2,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,2042
"diag_neg_full","Отрицательная диагональ",0.05,2,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,2042
"diag_neg_full","Отрицательная диагональ",0.05,2,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,2042
"diag_neg_full","Отрицательная диагональ",0.05,2,"bm3d","BM3D","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1824
"diag_neg_full","Отрицательная диагональ",0.05,2,"bm3d","BM3D","$1; 0.01$",1,0.01,72,0.8,0.338974422852812,0.00021321363216762,0.5939696961967,1824
"diag_neg_full","Отрицательная диагональ",0.05,2,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1824
"diag_neg_full","Отрицательная диагональ",0.05,2,"median","Median","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,4798
"diag_neg_full","Отрицательная диагональ",0.05,2,"median","Median","$1; 0.01$",1,0.01,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,4798
"diag_neg_full","Отрицательная диагональ",0.05,2,"median","Median","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,4798
