"config_id","config_label","sigma","rep","method","method_label","pred_rho","pred_theta","rho_mse","theta_mse","reconstructed_mean_distance","processed_active_pixels"
"diag_neg_full","Отрицательная диагональ",0.2,8,"wiener","Wiener",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,479
"diag_neg_full","Отрицательная диагональ",0.2,8,"quantile_09","Quantile 0.9",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.2,9,"cssa_row_row","CSSA ROW-ROW",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,167
"diag_neg_full","Отрицательная диагональ",0.2,9,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,100
"diag_neg_full","Отрицательная диагональ",0.2,9,"median","Median",71,0.8,0.1745442225354,0.00021321363216762,0.5939696961967,1340
"diag_neg_full","Отрицательная диагональ",0.2,9,"wiener","Wiener",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,476
"diag_neg_full","Отрицательная диагональ",0.2,9,"quantile_09","Quantile 0.9",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.2,10,"cssa_row_row","CSSA ROW-ROW",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,162
"diag_neg_full","Отрицательная диагональ",0.2,10,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,100
"diag_neg_full","Отрицательная диагональ",0.2,10,"median","Median",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1217
"diag_neg_full","Отрицательная диагональ",0.2,10,"wiener","Wiener",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,422
"diag_neg_full","Отрицательная диагональ",0.2,10,"quantile_09","Quantile 0.9",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"steep_full","Крутая прямая",0.2,1,"cssa_row_row","CSSA ROW-ROW",0,2.67,0.2,6.31237335209922e-05,0.225865452272706,183
"steep_full","Крутая прямая",0.2,1,"bm3d","BM3D",0,2.67,0.2,6.31237335209922e-05,0.225865452272706,102
"steep_full","Крутая прямая",0.2,1,"median","Median",0,2.67,0.2,6.31237335209922e-05,0.225865452272706,1294
"steep_full","Крутая прямая",0.2,1,"wiener","Wiener",0,2.67,0.2,6.31237335209922e-05,0.225865452272706,470
"steep_full","Крутая прямая",0.2,1,"quantile_09","Quantile 0.9",0,2.67,0.2,6.31237335209922e-05,0.225865452272706,1000
